| HH219      | A     | station     | HH219   | 2018-07-11 10:00:37 | None   |         | ground   |                                  | 540916.2E, 6601239.3N, 1050.9m |
| HH21       | A     | station     | HH21    | 2018-11-29 10:00:37 | None   |         | ground   |                                  | 541040.3E, 6601083.4N, 1052.5m |
| HH220      | A     | station     | HH220   | 2018-03-29 16:06:37 | None   |         | ground   |                                  | 540930.8E, 6601239.3N, 1050.9m |
| HH221      | A     | station     | HH221   | 2018-03-29 16:06:39 | None   |         | ground   |                                  | 540945.4E, 6601239.3N, 1050.9m |
| HH222      | A     | station     | HH222   | 2018-03-29 16:06:40 | None   |         | ground   |                                  | 540960.0E, 6601239.3N, 1050.9m |
| HH223      | A     | station     | HH223   | 2018-03-29 16:06:42 | None   |         | ground   |                                  | 540974.6E, 6601239.3N, 1051.1m |
| HH224      | A     | station     | HH224   | 2018-03-29 16:06:44 | None   |         | ground   |                                  | 540989.2E, 6601239.3N, 1050.9m |
| HH225      | A     | station     | HH225   | 2018-03-29 16:06:46 | None   |         | ground   |                                  | 541003.8E, 6601239.3N, 1051.0m |
| HH22       | A     | station     | HH22    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541062.2E, 6601079.2N, 1052.5m |
| HH233      | A     | station     | HH233   | 2018-03-29 16:06:48 | None   |         | ground   |                                  | 540865.1E, 6601252.0N, 1050.8m |
| HH234      | A     | station     | HH234   | 2018-07-12 10:00:37 | None   |         | ground   |                                  | 540879.7E, 6601252.0N, 1050.7m |
| HH235      | A     | station     | HH235   | 2018-03-29 16:06:49 | None   |         | ground   |                                  | 540894.3E, 6601252.0N, 1050.8m |
| HH236      | A     | station     | HH236   | 2018-03-29 16:06:51 | None   |         | ground   |                                  | 540908.9E, 6601252.0N, 1050.8m |
| HH237      | A     | station     | HH237   | 2018-03-29 16:06:53 | None   |         | ground   |                                  | 540923.5E, 6601252.0N, 1050.8m |
| HH238      | A     | station     | HH238   | 2018-03-29 16:06:55 | None   |         | ground   |                                  | 540938.1E, 6601252.0N, 1050.8m |
| HH239      | A     | station     | HH239   | 2018-03-29 16:06:57 | None   |         | ground   |                                  | 540952.7E, 6601252.0N, 1050.8m |
| HH23       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540887.0E, 6601096.0N, 1052.3m |
| HH240      | A     | station     | HH240   | 2018-03-29 16:06:58 | None   |         | ground   |                                  | 540967.3E, 6601252.0N, 1050.8m |
| HH241      | A     | station     | HH241   | 2018-03-29 16:07:00 | None   |         | ground   |                                  | 540981.9E, 6601252.0N, 1050.8m |
| HH242      | A     | station     | HH242   | 2018-03-29 16:07:02 | None   |         | ground   |                                  | 540996.5E, 6601252.0N, 1050.8m |
| HH243      | A     | station     | HH243   | 2018-03-29 16:07:04 | None   |         | ground   |                                  | 541011.1E, 6601252.0N, 1050.8m |
| HH24       | A     | station     | S1      | 2014-10-05 02:00:35 | None   |         | ground   |                                  | 540901.6E, 6601096.0N, 1052.4m |
| HH250      | A     | station     | HH250   | 2018-03-29 16:07:06 | None   |         | ground   |                                  | 540872.4E, 6601264.6N, 1050.7m |
